Index,Date,Secteur,Commentaire semaine,Commentaire jour,Code_entrée,Entrée,Code_plat,Plat,Code_légumes,Légumes,Code_laitage,Laitage,Code_dessert,Dessert,Code_gouter,Gouter,Code_gouter_02,Gouter_02,Taux participation,Température,Humidité,Vitesse du vent moyen 10 mn,Taux gaspillage,Attente moyenne,Allergies
0,2016-03-21,3,,,FLS,Pamplemousse,VPF,Rôti de porc au jus,,Lentilles,,Crme au chocolat,,,,Pain/ confiture d'abricots/ lait,,,0.93,10.7,58,4.5,0.04,38.3464534607311,0
1,2016-03-21,1,,,FLS,Pamplemousse,VPF,Rôti de porc au jus,,Lentilles,,Crme au chocolat,,,,Pain/ confiture d'abricots/ lait,,,0.95,10.7,58,4.5,0.04,0,0.02
2,2016-03-21,2,,,FLS,Pamplemousse,VPF,Rôti de porc au jus,,Lentilles,,Crme au chocolat,,,,Pain/ confiture d'abricots/ lait,,,0.89,10.7,58,4.5,0.04,13.5274424138202,0.02
3,2016-03-22,3,,,AB,"Salade floride (carotte râpée, dé d'orange)",,Poulet rôti,,Frites,,Saint Paulin,,Compote pommes/ fraises,,Pain/ beurre/ barre chocolatée/ lait,,,0.93,11.2,50,4.3,0.35,17.617790274881,0.02
4,2016-03-22,1,,,AB,"Salade floride (carotte râpée, dé d'orange)",,Poulet rôti,,Frites,,Saint Paulin,,Compote pommes/ fraises,,Pain/ beurre/ barre chocolatée/ lait,,,0.92,11.2,50,4.3,0.4,14.9358223662784,0
5,2016-03-22,2,,,AB,"Salade floride (carotte râpée, dé d'orange)",,Poulet rôti,,Frites,,Saint Paulin,,Compote pommes/ fraises,,Pain/ beurre/ barre chocolatée/ lait,,,0.95,11.2,50,4.3,0.38,0,0
6,2016-03-23,2,,,AB,"Salade piémontaise (pomme de terre, tomate, jambon, œuf, cornichon)",VBF,Steak haché,,Haricots beurre,,Edam,FLS,Poire,AB,Cake aux pépites de chocolat/ yaourt nature,,,0.55,12.8,49,4.4,0.54,0,0.02
7,2016-03-23,3,,,AB,"Salade piémontaise (pomme de terre, tomate, jambon, œuf, cornichon)",VBF,Steak haché,,Haricots beurre,,Edam,FLS,Poire,AB,Cake aux pépites de chocolat/ yaourt nature,,,0.54,12.8,49,4.4,0.53,25.9138503100355,0
8,2016-03-23,1,,,AB,"Salade piémontaise (pomme de terre, tomate, jambon, œuf, cornichon)",VBF,Steak haché,,Haricots beurre,,Edam,FLS,Poire,AB,Cake aux pépites de chocolat/ yaourt nature,,,0.55,12.8,49,4.4,0.52,30.9035320596583,0
9,2016-03-24,1,,,,Radis,VBF,Rôti de bœuf au jus,,Purée de pommes de terre,,Camembert,FLS,Pomme,,Pain/ compote de pches/ lait,,,0.88,10.4,58,3.7,0.19,0,0
10,2016-03-24,2,,,,Radis,"VBF,AB",Tortis bolognaise,,,,Camembert,FLS,Pomme,,Pain/ compote de pches/ lait,,,0.93,10.4,58,3.7,0.06,0,0
11,2016-03-24,3,,,,Radis,VBF,Bœuf bourguignon,,Purée de pommes de terre,,Camembert,FLS,Pomme,,Pain/ compote de pches/ lait,,,0.93,10.4,58,3.7,0.13,9.67322888948104,0
12,2016-03-25,1,,,,"Salade bicolore (chou rouge et blanc, pomme, raisin sec)",,Poisson pané,,Printanire de légumes,EBR,Fromage blanc,,,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,,,0.94,12.9,65,3.5,0.2,0,0
13,2016-03-25,2,,,,"Salade bicolore (chou rouge et blanc, pomme, raisin sec)",,Poisson pané,,Printanire de légumes,EBR,Fromage blanc,,,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,,,0.92,12.9,65,3.5,0.21,0,0.02
14,2016-03-25,3,,,,"Salade bicolore (chou rouge et blanc, pomme, raisin sec)",,Poisson pané,,Printanire de légumes,EBR,Fromage blanc,,,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,,,0.93,12.9,65,3.5,0.23,0,0.02
15,2016-03-28,1,FERIE,,,FERIE,,FERIE,,FERIE,,FERIE,,FERIE,,FERIE,,,0.93,10.8,70,6.7,0.15,21.3210060900072,0.02
16,2016-03-28,2,FERIE,,,FERIE,,FERIE,,FERIE,,FERIE,,FERIE,,FERIE,,,0.93,10.8,70,6.7,0.1,1.98770831020902,0.02
17,2016-03-28,3,FERIE,,,FERIE,,FERIE,,FERIE,,FERIE,,FERIE,,FERIE,,,0.93,10.8,70,6.7,0.12,0,0
18,2016-03-29,1,,,,Concombres bulgares,,Couscous d'agneau et ses légumes,AB,Semoule,,Crme pralinée,,,,Pain/ beurre/ kiwi/ lait,,,0.92,10.3,80,5,0.27,0,0.02
19,2016-03-29,3,,,,Concombres bulgares,,Couscous d'agneau et ses légumes,AB,Semoule,,Crme pralinée,,,,Pain/ beurre/ kiwi/ lait,,,0.92,10.3,80,5,0.26,6.05185704430974,0
20,2016-03-29,2,,,,Concombres bulgares,,Couscous d'agneau et ses légumes,AB,Semoule,,Crme pralinée,,,,Pain/ beurre/ kiwi/ lait,,,0.94,10.3,80,5,0.24,0,0.02
21,2016-03-30,1,,,AB,Salade de blé aux légumes,,Filet de lieu beurre persillé,FLS/AB,Fondue de poireaux,,Tome noire,FLS,Orange,,Pain/ beurre/ barre chocolatée/ lait,,,0.54,8.90000000000003,86,2,0.11,0,0
22,2016-03-30,3,,,AB,Salade de blé aux légumes,,Filet de lieu beurre persillé,"FLS,AB",Fondue de poireaux,,Tome noire,FLS,Orange,,Pain/ beurre/ barre chocolatée/ lait,,,0.54,8.90000000000003,86,2,0.07,22.2125146787511,0.02
23,2016-03-30,2,,,AB,Salade de blé aux légumes,,Filet de lieu beurre persillé,FLS/AB,Fondue de poireaux,,Tome noire,FLS,Orange,,Pain/ beurre/ barre chocolatée/ lait,,,0.57,8.90000000000003,86,2,0.09,2.63322409936996,0.02
24,2016-03-31,1,,,,Oeufs/ salade,VBF,Bœuf bourguignon,AB,Carottes aux pruneaux,,Fromage fondu,FLS,Pomme,,Pain/ compote de pches/ lait,,,0.9,8.40000000000003,81,3.9,0.26,0,0
25,2016-03-31,3,,,,Oeufs/ salade,VBF/AB,Tortis bolognaise,,,,Fromage fondu,FLS,Pomme,,Pain/ compote de pches/ lait,,,0.94,8.40000000000003,81,3.9,0.19,0,0
26,2016-03-31,2,,,,Oeuf/ salade,VBF,Rôti de bœuf au jus,AB,Carottes aux pruneaux,,Fromage fondu,FLS,Pomme,,Pain/ compote de pches/ lait,,,0.91,8.40000000000003,81,3.9,0.31,1.62025290324184,0
